#ORF	Gene	Heat 0' (A)	Heat 0' (A) Call	Heat 0' (B)	Heat 0' (B) Call	Heat 15'	Heat 15' Call	Heat 30'	Heat 30' Call	Heat 45'	Heat 45' Call	Heat 60'	Heat 60' Call	Heat 120'	Heat 120' Call	Acid 0' (A)	Acid 0' (A) Call	Acid 0' (B)	Acid 0' (B) Call	Acid 10'	Acid 10' Call	Acid 20'	Acid 20' Call	Acid 40'	Acid 40' Call	Acid 60'	Acid 60' Call	Acid 80'	Acid 80' Call	Acid 100'	Acid 100' Call	Alkali 0' (A)	Alkali 0' (A) Call	Alkali 0' (B)	Alkali 0' (B) Call	Alkali 10'	Alkali 10' Call	Alkali 20'	Alkali 20' Call	Alkali 40'	Alkali 40' Call	Alkali 60'	Alkali 60' Call	Alkali 80'	Alkali 80' Call	Alkali 100'	Alkali 100' Call	msn2/4 acid 0'	msn2/4 acid 0' Call	msn2/4 acid 10'	msn2/4 acid 10' Call	msn2/4 acid 20'	msn2/4 acid 20' Call	Peroxide 0' (A)	Peroxide 0' (A) Call	Peroxide 0' (B)	Peroxide 0' (B) Call	Peroxide 10'	Peroxide 10' Call	Peroxide 20'	Peroxide 20' Call	Peroxide 40'	Peroxide 40' Call	Peroxide 60'	Peroxide 60' Call	Peroxide 120'	Peroxide 120' Call	NaCl 0'	NaCl 0' Call	NaCl 15'	NaCl 15' Call	NaCl 30'	NaCl 30' Call	NaCl 45'	NaCl 45' Call	NaCl 60'	NaCl 60' Call	NaCl 120'	NaCl 120' Call	Sorbitol 0'	Sorbitol 0' Call	Sorbitol 15'	Sorbitol 15' Call	Sorbitol 30'	Sorbitol 30' Call	Sorbitol 45'	Sorbitol 45' Call	Sorbitol 90'	Sorbitol 90' Call	Sorbitol 120'	Sorbitol 120' Call
orf	gene	heat.0min.a	heat.0min.a.call	heat.0min.b	heat.0min.b.call	heat.15min	heat.15min.call	heat.30min	heat.30min.call	heat.45min	heat.45min.call	heat.60min	heat.60min.call	heat.120min	heat.120min.call	acid.0min.a	acid.0min.a.call	acid.0min.b	acid.0min.b.call	acid.10min	acid.10min.call	acid.20min	acid.20min.call	acid.40min	acid.40min.call	acid.60min	acid.60min.call	acid.80min	acid.80min.call	acid.100min	acid.100min.call	alkali.0min.a	alkali.0min.a.call	alkali.0min.b	alkali.0min.b.call	alkali.10min	alkali.10min.call	alkali.20min	alkali.20min.call	alkali.40min	alkali.40min.call	alkali.60min	alkali.60min.call	alkali.80min	alkali.80min.call	alkali.100min	alkali.100min.call	msn2/4.acid.0min	msn2/4.acid.0min.call	msn2/4.acid.10min	msn2/4.acid.10min.call	msn2/4.acid.20min	msn2/4.acid.20min.call	peroxide.0min.a	peroxide.0min.a.call	peroxide.0min.b	peroxide.0min.b.call	peroxide.10min	peroxide.10min.call	peroxide.20min	peroxide.20min.call	peroxide.40min	peroxide.40min.call	peroxide.60min	peroxide.60min.call	peroxide.120min	peroxide.120min.call	nacl.0min	nacl.0min.call	nacl.15min	nacl.15min.call	nacl.30min	nacl.30min.call	nacl.45min	nacl.45min.call	nacl.60min	nacl.60min.call	nacl.120min	nacl.120min.call	sorbitol.0min	sorbitol.0min.call	sorbitol.15min	sorbitol.15min.call	sorbitol.30min	sorbitol.30min.call	sorbitol.45min	sorbitol.45min.call	sorbitol.90min	sorbitol.90min.call	sorbitol.120min	sorbitol.120min.call
YKL105C	YKL105C	172.3	P	60.7	P	123.4	P	141	P	127	P	117.1	P	215.9	P	203.2	P	130.9	P	265.6	P	203.4	P	209.8	P	228.7	P	184.5	P	166.2	P	203.2	P	130.9	P	353	P	287.3	P	155.7	P	172.8	A	82.1	A	133.8	A	229.1	P	294.8	P	139.1	P	172	P	157.7	P	62	A	104.1	A	113.3	P	192.7	P	198.1	P	424	P	139.7	P	283.8	P	607.3	P	608.2	P	506.5	A	424	P	138.5	P	865.3	P	835.9	P	606.4	P	518.3	P
YKL106W	AAT1	520.2	P	221.6	P	418	P	734.6	P	805.2	P	609.4	P	670.2	P	359.2	P	261.8	P	294.7	P	147	P	258.8	P	281.4	P	191.4	P	226.8	P	359.2	P	261.8	P	47.3	A	161.1	P	79	P	205.4	P	182.2	P	132.9	P	334.5	P	346.4	P	444.5	P	270.1	P	309.8	P	112.3	P	56.2	P	102.7	P	127	P	169.1	P	420	P	65.9	P	292.3	P	202.1	P	361	P	20	A	420	P	152.3	P	250.9	P	339.2	P	236.3	P	309.9	P
YKL107W	YKL107W	39.9	A	20	A	61.4	P	45.4	P	60	P	20	A	46.4	P	20	A	20	A	20	A	24.5	P	20	A	29.6	P	20	P	20	A	20	A	20	A	63	A	105.1	P	32.8	P	32.6	A	53.9	P	20	A	36.7	A	95.8	A	20	A	20	P	20	A	85.2	P	110.1	P	158.5	P	164.1	P	40.3	P	20	A	20	A	69.8	P	101	A	65.2	A	20	A	20	A	20	A	276.7	A	55.6	A	85	A	32.1	A
YKL108W	YKL108W	73.4	P	46.3	A	84.3	P	94.8	P	135.5	P	112.9	P	94	P	138.7	P	155.1	P	120.1	P	116.4	P	114.9	P	128.5	P	92.3	P	110.8	P	138.7	P	155.1	P	20	A	112.1	A	73.8	P	78.2	A	159.1	P	169.8	P	146.6	P	95.8	A	20	A	82.5	A	81.6	P	112.3	P	56.9	A	103.8	P	141.3	P	64	A	34	A	20	A	20	A	20	A	20	A	134.6	A	34	A	20	A	114.4	A	20	A	58.2	A	20	A
YKL109W	HAP4	606.3	P	293.9	P	284.9	P	265.3	P	302	P	206.7	P	156.3	P	116.4	P	88.2	P	196.5	P	102.9	P	151.6	P	205.6	P	410.1	P	109.1	P	116.4	P	88.2	P	66.2	A	112.1	A	129.7	P	94.5	P	93.7	A	21.2	A	242.8	P	228.4	P	300	P	44.1	A	33.2	P	120.1	P	71.1	P	26.2	A	49.9	A	74.5	P	391	P	191.4	P	339.8	P	358.5	P	841.8	P	1238.1	P	391	P	181.9	P	276.7	P	392.2	P	311.9	P	463.4	P
YKL110C	KTI12	477.1	P	206.2	P	209	P	403.1	P	595.6	P	467.4	P	394.7	P	384	P	382.8	P	240.1	P	176.4	P	258.8	P	316.1	P	292.8	P	188.7	P	384	P	382.8	P	277.4	P	49	A	204.9	P	319.5	P	323.4	P	419.9	P	293.2	P	302.1	P	343.6	P	304.3	P	284.9	P	127.8	P	89.9	P	97.1	P	198.4	P	176.2	P	1621	P	614.6	P	658.9	P	513.8	P	766	P	506.5	P	1621	P	943.6	P	704.8	P	2263.4	P	2078.7	P	1660.7	P
YKL111C	YKL111C	95.7	P	82.9	P	107.1	P	162.5	P	153.8	P	69.7	P	88.7	P	81.8	P	297.4	P	91	P	82.1	P	125.6	P	65.5	P	66.1	P	36.4	P	81.8	P	297.4	P	324.7	P	56	A	221.3	P	84.8	P	227.2	P	180.9	P	146.6	A	36.8	A	32.7	A	106.6	P	85.8	P	38.7	A	56.9	A	68.1	P	92.8	P	56.1	A	277	P	221.9	P	304.5	P	393.3	P	128.9	A	20	A	277	P	236.4	P	118.1	A	834.5	P	460.9	P	506.9	P
YKL112W	ABF1	276	P	156.1	P	358.4	P	392	P	309.1	P	220	P	201.3	P	698.6	P	422.6	P	414.8	P	519.5	P	511.5	P	711.8	P	457.9	P	519.3	P	698.6	P	422.6	P	592.6	P	231.2	P	252.6	P	299.9	P	356.8	P	433.7	P	242.8	P	243.2	P	289.1	P	446.4	P	475.8	P	170.5	P	102.6	P	119.4	P	145.6	P	179.7	P	350	P	263	P	381.2	P	510.6	P	408	P	386.6	P	350	P	251.1	P	284.1	P	597.1	P	517.9	P	620.9	P
YKL113C	RAD27	256.9	P	181.2	P	261.1	P	358.5	P	558.2	P	379.4	P	333.8	P	753.1	P	297.4	P	385.7	P	431.3	P	559	P	600	P	365.7	P	405.1	P	753.1	P	297.4	P	179.7	P	133.1	P	151.3	P	270.6	P	376	P	345.1	P	206.2	P	302.1	P	428.2	P	358.3	P	286.3	P	209.2	P	67.4	P	110.5	P	141.3	P	234.9	P	506	P	448.7	P	335.2	P	254.2	P	110.7	A	288.7	A	506	P	432.1	P	330.2	P	607.9	P	398	P	828.3	P
YKL114C	APN1	390.9	P	190.8	P	406.4	P	601.5	P	614	P	425.9	P	410.6	P	386.5	P	260.4	P	389.3	P	373.7	P	407.3	P	408.6	P	268.8	P	297.7	P	386.5	P	260.4	P	450.7	P	301.3	P	175.9	P	244.5	P	341.4	P	263.9	P	320.7	P	456.9	P	425.4	P	217.5	P	196.4	P	209.2	P	98.1	P	168.5	P	118.4	P	171.8	P	348	P	263.7	P	258.5	P	386.7	P	267	P	203.1	A	348	P	179.1	P	357.9	P	381.3	P	282.8	A	388.7	P
YKL115C	YKL115C	30.3	A	67.5	P	46.1	P	47.8	A	20	A	41.5	P	31.8	A	39.6	A	257.6	P	58.2	A	76	A	30.6	P	68.1	A	59.2	A	96.9	A	39.6	A	257.6	P	154.4	A	105.1	A	30.6	A	20	A	28.2	A	53.5	A	110	A	22.1	A	68.2	A	85.3	A	73.3	A	62	A	71.9	A	55.8	A	44.2	A	54.3	A	375	A	219.8	A	331.4	A	366.1	A	417.1	A	102.8	A	375	A	117.3	A	313.6	P	23.1	A	93.1	A	207.3	P
YKL116C	YKL116C	173.9	P	48.2	A	159.7	P	157.7	P	157.4	P	154.4	P	211.9	P	126.4	P	20	A	91	P	79.6	P	145.5	P	152.9	P	94.5	P	112.5	P	126.4	P	20	A	31.5	A	42	A	20	A	20	A	79.6	P	21.2	A	87.1	P	20	A	141.8	P	65.4	A	67.8	A	20	A	23.2	A	49.7	P	40	A	26.3	P	339	P	273.6	P	403.5	P	281.4	P	145.6	P	149.3	A	339	P	128.3	A	186.3	A	20	A	232.8	A	282	P
YKL117W	SBA1	2545	P	1776	P	3849.5	P	4238.5	P	3828.5	P	2943.2	P	3087.5	P	3478.3	P	3218.7	P	4581	P	2992.1	P	3630.9	P	4085.8	P	3223.7	P	3327	P	3478.3	P	3218.7	P	4375	P	3860.4	P	4021.5	P	3785	P	4066.9	P	4684.4	P	4884.3	P	2977.2	P	2470.8	P	2901.9	P	2778.9	P	2893.8	P	2406.2	P	2516.9	P	3543.3	P	1631	P	3455	P	2318.2	P	2776.8	P	3078.7	P	5463.5	P	2424.9	P	3455	P	957.5	P	2909.5	P	2202.3	P	1955.3	P	1879.4	P
YKL118W	YKL118W	36.7	A	20	A	46.1	P	28.7	A	76.2	P	22.4	P	54.3	P	20	A	31.3	A	36.4	P	28.2	A	20	A	24.4	P	20	A	20	A	20	A	31.3	A	66.2	A	28	A	41	P	81.5	P	43.6	A	32.3	A	20	A	20	A	20	A	20	A	20	A	31	A	21	A	31.2	A	41.4	A	23.7	A	41	P	33.3	P	52.9	A	64.1	A	20	A	66.1	A	41	P	20	A	20	A	20	A	37.2	A	75.7	A
YKL119C	VPH2	260.1	P	264	P	388.2	P	517.1	P	543.4	P	351.2	P	433.1	P	319.6	P	249	P	338.4	P	221.8	P	287.9	P	308.4	P	275.7	P	309.9	P	319.6	P	249	P	362.5	P	140.1	P	229.5	P	231.5	P	333.7	P	431.9	P	334.5	P	221.1	P	218.2	P	260.2	P	260	P	240.2	P	197.7	P	299.1	P	295.4	P	210.3	P	466	P	521.8	P	362.8	P	373.7	P	580.9	P	200.6	A	466	P	160.7	P	398.5	P	82.8	A	282.8	P	279.9	P
YKL120W	YKL120W	390.9	P	209.1	P	310	P	468.5	P	548.3	P	357	P	392.1	P	1756.5	P	2271	P	1153.4	P	725.4	P	324.7	P	670.7	P	641.3	P	604.1	P	1756.5	P	2271	P	2382.9	P	707.6	P	877	P	596.6	P	961.2	P	987.5	P	1425	P	1378	P	1570.9	P	1217.1	P	1203.4	P	1053.7	P	814.8	P	497.1	P	371	P	616.1	P	6483	P	2592.5	P	2648.7	P	2584.4	P	6780.1	P	2373.5	P	6483	P	2061.7	P	3038.6	P	5001.7	P	5725	P	4337.2	P
YKL121W	YKL121W	105.3	P	84.8	P	176	P	227.9	P	198.3	P	184.3	P	218.5	P	183.3	P	256.1	P	298.4	P	273.2	P	102.6	P	224.8	P	182.3	P	247.5	P	183.3	P	256.1	P	636.7	P	273.2	P	208.6	P	185.8	P	341.4	P	323	P	210.8	P	228.4	P	174.5	P	150.7	P	113.4	P	108.5	P	146	P	203.6	P	219.8	P	135.8	P	254	P	125.5	P	408.9	P	343.3	P	283.6	P	68.5	A	254	P	87.7	A	381.9	P	97.7	A	68.7	A	137.9	A
YKL122C	SR121	497.8	P	319	P	424.5	P	613.5	P	800.3	P	703.2	P	625.2	P	701.1	P	724.3	P	564	P	520.7	P	447.2	P	655.3	P	569.6	P	495.1	P	701.1	P	724.3	P	747	P	497.4	P	504.5	P	720.5	P	885.5	P	677.4	P	980.5	P	538	P	390	P	607.1	P	686.1	P	383.5	P	274.8	P	316.4	P	268.3	P	312	P	2138	P	1261.2	P	2879.6	P	1920.6	P	2830.4	P	1487.7	P	2138	P	819.9	P	1145.7	P	1069.3	P	1808.6	P	1508.3	P
YKL123W	YKL123W	90.9	P	61.7	P	126.1	P	210.3	P	249.8	P	107.1	P	66.2	P	143.7	P	442.5	P	185.6	P	208.3	P	82.7	P	163.2	P	168.6	P	107.3	P	143.7	P	442.5	P	1245	P	119.1	P	343.5	P	211.9	P	492.8	P	610.9	P	55	P	20	A	20	A	129.4	P	193.6	P	89.1	P	172.2	P	255.5	P	343.9	P	174.4	P	144	A	95.7	P	607.5	P	413.9	P	638.6	P	176.2	P	144	A	211.4	P	678.9	P	196.8	P	153.6	A	166.9	A
YKL124W	SSH4	51.1	P	20.2	A	75.4	P	83.7	P	85.4	P	52.3	P	27.8	P	61.9	P	140.9	P	65.5	P	82.1	P	58.2	P	70.7	P	53.5	P	58.9	P	61.9	P	140.9	P	208	P	154.1	P	79.7	P	65.2	P	106.5	P	115.4	P	27.5	A	20	A	20	A	39.8	P	47	P	20	A	50.2	P	54.1	P	65.6	P	58.7	P	20	A	20	A	206.3	P	187.9	P	203.3	A	20	A	20	A	20	A	132.8	A	20	A	20	A	20	A
YKL125W	RRN3	497.8	P	158	P	433.8	P	638.2	P	707.1	P	557.1	P	470.2	P	396.4	P	404.1	P	258.3	P	219.3	P	217.5	P	290.4	P	243.8	P	238.9	P	396.4	P	404.1	P	318.4	P	70.1	A	131.1	P	104.3	P	196.4	P	150.4	P	320.7	P	191.6	P	185.4	P	271.6	P	297.4	P	54.2	P	46.4	P	98.8	P	147	P	224.4	P	1041	P	489.9	P	998	P	878.8	P	788.7	P	509	P	1041	P	449.6	P	732.4	P	479	P	497	P	610.6	P
YKL126W	YPK1	609.5	P	438.5	P	1005.9	P	1156	P	897.7	P	636.8	P	679.5	P	698.6	P	338.7	P	1142.5	P	906.7	P	768.7	P	614.2	P	533.1	P	569.5	P	698.6	P	338.7	P	1037	P	476.4	P	581.2	P	596.6	P	970.2	P	766.9	P	714.8	P	795.9	P	998.1	P	489.1	P	492.4	P	337	P	265.1	P	543.4	P	472.4	P	481.1	P	805	P	494.1	P	1210.4	P	1023.3	P	1063.3	P	440.4	P	805	P	443.2	P	924.3	P	709.7	P	297.9	P	568.1	P
YKL127W	PGM1	697.3	P	399.9	P	548.3	P	642.1	P	681.7	P	563.7	P	643.7	P	644.1	P	553.5	P	673.1	P	528.1	P	603.4	P	648.9	P	481.8	P	360.1	P	644.1	P	553.5	P	794.3	P	553.5	P	280.9	P	583.6	P	580.1	P	778.9	P	673.5	P	707.4	P	466.3	P	544.5	P	539.4	P	406.8	P	280.8	P	241	P	167	P	221.7	P	3686	P	2082.8	P	2364.9	P	1493.7	P	1060.2	P	638.6	P	3686	P	3655.4	P	2142	P	2855	P	2238.1	P	2478.5	P
YKL128C	PMU1	877.6	P	391.2	P	665.2	P	744.9	P	837.7	P	752.2	P	623.9	P	780.4	P	601.9	P	935.1	P	629.8	P	879	P	884	P	495.5	P	666.4	P	780.4	P	601.9	P	381.4	P	651.6	P	484.3	P	476	P	343.9	P	483.6	P	1282.9	P	707.4	P	831.8	P	499	P	604.5	P	794.1	P	624.6	P	501.6	P	405.3	P	273.4	P	2237	P	941.4	P	1959.9	P	1844.6	P	1905.1	P	802.6	P	2237	P	1239.1	P	1767.5	P	2032.7	P	1459.5	P	1257.4	P
YKL129C	MYO3	127.6	P	42.4	A	169	P	239	P	252.6	P	177.7	P	160.3	P	86.7	P	55.5	P	280.2	P	209.5	P	160.8	P	163.2	P	108.2	P	200.8	P	86.7	P	55.5	P	173.4	A	238.2	P	113.3	P	143.4	P	119.4	P	132.9	A	151.2	P	324.2	P	130.9	P	71.1	P	20	A	23.2	A	51.7	A	93.2	P	158.4	P	50	A	107	A	83.7	A	320.6	P	310.7	P	221.5	A	80.7	A	107	A	191.1	P	365.3	P	280.9	P	288.6	A	241.5	P
YKL130C	SHE2	204.2	P	183.1	P	192.7	P	215.9	P	306.3	P	283.9	P	388.1	P	193.2	P	139.4	P	240.1	P	154.4	P	196	P	295.5	P	216.4	P	251	P	193.2	P	139.4	P	88.3	A	20	A	115.5	P	185.8	P	114.2	P	190.1	P	343.6	P	243.2	P	215.4	P	186.3	P	255.9	P	275	P	116.1	P	100.4	P	94.2	P	20	A	493	P	342.4	P	584.5	P	415	P	409.5	P	308.3	P	493	P	251.1	P	393	P	397.6	P	429.5	P	350.4	P
YKL131W	YKL131W	36.7	A	40.5	A	20	P	20	A	20	A	20	P	20	A	39.6	P	25.6	A	20	A	20	A	20	A	20	A	20	A	20	A	39.6	P	25.6	A	20	A	20	A	20	A	20	A	20	A	71.1	P	64.1	P	20	A	20	A	20	A	20	A	20	A	21.7	A	44.6	A	20	A	20	A	108	P	85.8	P	36.1	A	20	A	60.7	A	34.3	A	108	P	128.3	P	173.4	P	185.9	A	40.7	A	112	A
YKL132C	YKL132C	92.5	P	57.8	A	38.2	P	85.2	P	89.6	P	99.6	P	156.3	P	123.9	P	153.7	P	247.4	P	115.2	P	99.5	P	100.2	P	119.6	P	112.5	P	123.9	P	153.7	P	189.1	P	20	A	38	P	20	A	89.8	A	78.4	A	210.8	P	191.6	P	103.6	P	100.9	P	130	P	201.4	P	174.5	P	88.7	P	91.3	P	118.3	P	196	P	34	A	108.2	P	113	A	113.8	A	29.4	A	196	P	77.6	A	330.2	A	105.8	A	109.4	A	257.1	P
YKL133C	YKL133C	22.3	A	20	A	84.7	P	38.2	P	57.9	P	73.1	P	102	P	54.5	P	42.7	P	47.3	A	83.3	P	21.4	P	59.1	P	22.8	A	57.1	P	54.5	P	42.7	P	211.2	P	20	A	64.8	A	39.1	P	89.8	P	64.6	P	20	A	59	A	20	A	20	P	22.1	A	31	A	41.2	P	97.1	P	107	P	54.3	P	90	P	90.7	P	180.3	P	311.8	P	156.2	A	247.1	P	90	P	144	P	250.9	A	261.9	P	85	A	96.4	P
YKL134C	YKL134C	83	P	20	A	109.4	P	84.5	P	102.3	P	78	P	124.5	P	52	P	28.5	A	29.1	A	76	P	75	P	86.1	P	55.8	P	95.2	P	52	P	28.5	A	47.3	A	20	A	26.1	A	65.2	P	20	A	20.3	A	36.7	A	132.6	P	68.2	P	32.7	A	42.9	P	20	A	20	A	20	A	37.1	A	47.3	A	185	P	28.4	A	171.1	P	179.2	P	216.9	P	151.7	P	185	P	36.9	A	214	A	219.8	A	100.1	A	205.2	P
YKL135C	APL2	451.6	P	361.4	P	601.4	P	665.3	P	649.2	P	572	P	627.8	P	681.3	P	518	P	647.7	P	556.3	P	525.3	P	616.7	P	484.1	P	457	P	681.3	P	518	P	665.1	P	462.4	P	356.2	P	489	P	626.3	P	515.9	P	646	P	582.2	P	414.5	P	395.3	P	427.4	P	267.3	P	199.2	P	520	P	548	P	364.6	P	273	A	113.4	P	635.9	P	523.6	P	497.5	P	154.2	P	273	A	145.9	P	538.7	P	388.1	P	138.5	P	378.4	P
YKL136W	YKL136W	71.8	P	38.5	P	148.5	P	156.2	P	160.9	P	94.6	P	129.8	P	71.8	P	146.6	P	101.9	P	78.4	P	79.6	P	119.5	P	87.7	P	20	A	71.8	P	146.6	P	245.9	P	231.2	P	121.5	P	55.4	A	138.6	P	102.4	P	68.7	P	20	A	65.5	P	25.6	A	74.7	P	62	P	42.7	P	106	P	72.8	P	53.5	P	291	P	145.3	P	325.2	P	258.5	P	156.2	A	301	A	291	P	235.4	A	298.9	P	526.5	P	300.3	P	348.3	P
YKL137W	YKL137W	256.9	P	205.3	P	561.8	P	631	P	599.9	P	429.2	P	370.9	P	339.4	P	49.8	P	393	P	497.5	P	361.4	P	471.5	P	279.1	P	259.7	P	339.4	P	49.8	P	100.9	A	133.1	P	51.4	P	150	P	106.5	P	83.1	P	632.3	P	567.4	P	799.1	P	150.7	P	174.3	P	306	P	168.5	P	164.6	P	174.1	P	146.4	P	578	P	591.9	P	851.5	P	1233	P	1656.4	P	1999.1	P	578	P	81.3	A	256.4	A	438.3	P	663.4	P	740.1	P
YKL138C	MRPL31	288.8	P	207.2	P	467.3	P	513.9	P	454.5	P	338.7	P	303.3	P	366.7	P	149.4	P	429.4	P	504.8	P	431.8	P	393.2	P	350.8	P	318.5	P	366.7	P	149.4	P	378.2	P	385.3	P	135.6	P	198.9	P	136	P	221.5	P	412.4	P	648.5	P	428.2	P	206.2	P	222.7	P	255.7	P	179	P	218.2	P	167	P	181.4	P	425	P	272.9	P	583	P	581.2	P	675	P	332.8	A	425	P	252.1	P	865.3	P	784.3	P	549.3	P	617.8	P
YKL139W	CTK1	169.1	P	65.5	P	225.3	P	221.5	P	220.9	P	132.8	P	185.4	P	203.2	P	54.1	P	145.5	P	143.4	P	117.9	P	159.3	P	103.7	P	96.9	P	203.2	P	54.1	P	20	A	308.3	P	20	A	26.1	A	62.9	P	92.3	P	20	P	66.3	P	65.5	P	109.5	P	63.6	P	27.1	A	20	P	55.8	P	74.2	P	51.7	P	86	P	20	A	130.4	P	76	P	165.3	A	88.1	A	86	P	90.5	A	149.4	A	109.9	P	111.7	A	134.8	P
YKL140W	TGL1	389.3	P	140.7	P	546	P	599.1	P	399.4	P	578.7	P	564.3	P	458.3	P	261.8	P	767.7	P	484	P	505.4	P	602.6	P	304.1	P	299.5	P	458.3	P	261.8	P	510.6	P	413.4	P	267.5	P	479.2	P	423.5	P	348.8	P	646	P	840.1	P	444.5	P	365.4	P	314	P	108.5	A	234.4	P	299.1	P	351.1	P	244.5	P	1033	P	1234.9	P	1804.9	P	3122.1	P	1791.3	P	1991.8	P	1033	P	987.9	P	1811.7	P	1525.2	P	1189.5	P	1522.8	P
YKL141W	SDH3	347.8	P	240.9	P	454.3	P	498.7	P	456.6	P	407.6	P	476.8	P	252.7	P	234.8	P	651.3	P	323.5	P	428.8	P	461.3	P	419.2	P	412	P	252.7	P	234.8	P	784.8	P	504.4	P	366.6	P	619.4	P	594.2	P	449.4	P	875.1	P	508.5	P	556.3	P	373.9	P	213	P	244.1	P	187.2	P	165.7	P	214.1	P	303.2	P	1873	P	2442.9	P	3760.2	P	6337.7	P	3643.4	P	3293.5	P	1873	P	2804.1	P	3044.2	P	2686.7	P	2280	P	2305.4	P
YKL142W	MRP8	777	P	558.9	P	1830.7	P	1778.3	P	1277.3	P	1074.3	P	1202.7	P	562.4	P	536.4	P	1651.9	P	969.2	P	917.3	P	979.1	P	872.6	P	768.6	P	562.4	P	536.4	P	3930.5	P	1296.2	P	1228.7	P	1796.3	P	1731.2	P	1899.2	P	1782.4	P	1016.9	P	801.8	P	345.5	P	398.4	P	1150.5	P	1148	P	1678.8	P	2249	P	564.4	P	2613	P	2460.7	P	4232.7	P	9066.5	P	4241	P	3667.9	P	2613	P	2820.7	P	5352.2	P	4201.1	P	1522.3	P	2422.6	P
YKL143W	LTV1	20	A	20	A	20	A	79.7	A	184.9	P	98	P	67.6	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	83.4	P	78.4	P	20	A	20	A	49.1	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	941	P	440.2	P	139.6	A	59.7	A	83.4	A	78.3	A	941	P	20	A	62.7	A	20	A	445.8	A	288.2	P
YKL144C	RPC25	245.7	P	127.2	P	170.8	P	334.6	P	438.9	P	311.3	P	418.6	P	336.9	P	267.5	P	207.4	P	117.6	P	199.1	P	305.8	P	251.7	P	251	P	336.9	P	267.5	P	22.1	A	20	A	100.6	P	241.2	P	277.2	P	309.2	P	197	P	169.5	P	163.6	P	290	P	352.7	P	182.1	P	95.1	P	80.3	P	85.6	P	250.7	P	190	P	150.3	P	69.8	A	102.1	A	121.3	A	46.5	A	190	P	43.4	A	22.1	A	116.7	A	147.8	A	67.4	A
YKL145W	RPT1	1278.1	P	1051.3	P	2146.8	P	1902.5	P	1764.3	P	1222.1	P	1384.1	P	2477.5	P	1835.6	P	2423.3	P	2127.1	P	2029.1	P	2343.6	P	1568.6	P	763.4	P	2477.5	P	1835.6	P	2780.1	P	2017.8	P	1792.8	P	2288.6	P	2347.2	P	2479.7	P	1383.7	P	1400.1	P	1273.6	P	1465.9	P	1673.7	P	1197	P	1333.8	P	1644.2	P	1825.2	P	1900.9	P	4880	P	2983.8	P	3492.5	P	3976	P	4932.7	P	2701.4	P	4880	P	2223.3	P	4060.7	P	3841.5	P	3388	P	2717	P
YKL146W	YKL146W	598.3	P	400.9	P	1006.4	P	917	P	721.2	P	787.9	P	700.7	P	592.1	P	419.8	P	502.1	P	491.3	P	672.3	P	621.9	P	463.6	P	60.6	A	592.1	P	419.8	P	1002.3	P	231.2	P	661.7	P	704.2	P	835.5	P	869.3	P	723.9	P	383.2	P	665.4	P	309.9	P	347.2	P	294.4	P	174.5	P	435.8	P	536.6	P	589.8	P	1994	P	963.4	P	2357.2	P	2322.6	P	1657.9	P	1189.2	P	1994	P	2148.5	P	2857.8	P	1485.9	P	1972.7	P	1634.7	P
YKL147C	YKL147C	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	45.5	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	45.5	A	160.8	A	20	A	121.5	A	26.1	A	65.5	A	25.8	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	20	A	147	P	25.5	A	20	A	169.5	P	69.8	A	110.1	A	147	P	37.9	A	20	A	69.2	A	88.5	A	137.9	A
YKL148C	SDH1	309.5	P	219.7	P	600.5	P	550.5	P	332.4	P	362.8	P	282.1	P	188.3	P	204.9	P	731.4	P	493.8	P	410.4	P	328.9	P	224.4	P	354.9	P	188.3	P	204.9	P	431.8	P	161.1	P	213.1	P	241.2	P	355.5	P	220.6	P	334.5	P	670.6	P	763.6	P	110.9	P	102.4	P	96.8	P	87.6	P	123.3	P	78.5	P	211.2	P	466	P	238.9	P	430.3	P	239	P	332.2	A	337.7	A	466	P	249.3	P	579.3	A	408.4	P	416.7	A	871.8	P
YKL149C	DBR1	213.8	P	129.1	P	254.6	P	300.4	P	321.1	P	254.9	P	233.1	P	210.6	P	303.1	P	232.9	P	227.9	P	237.4	P	253.1	P	146.9	P	180	P	210.6	P	303.1	P	573.7	P	105.1	A	254.1	P	251	P	284.9	P	299.9	P	160.4	P	117.9	A	158.2	P	183.4	P	154.9	P	85.2	P	70.4	P	78.7	P	61.4	P	94.7	P	207	P	153.1	P	332.1	P	166.2	P	163.8	P	168.8	A	207	P	111.7	A	70.1	A	84.1	A	159.4	P	170	P
