# From Lipson et al. Nature Biotech (2009) supplementary table 1
# downloaded from http://www.nature.com.ezp-prod1.hul.harvard.edu/nbt/journal/v27/n7/extref/nbt.1551-S2.xls on 8/28/2009
orf	gene	chan7	chan8	chan9	chan10	chan11	chan12	chan.avg	stdev	inter.channel.cv	inter.prep.cv	microarray	nagalakshmi
YJR132W	NMD5	53.9	52.1	54.7	55.6	53.4	54.9	54.1	1.25	0.025	0.029	681	NA
YJR133W	XPT1	64.1	61.3	61.2	63.2	62.1	60.2	62.02	1.43	0.026	0.013	912	NA
YJR134C	SGM1	62.2	67.9	67.8	73.5	71.3	71.2	68.98	3.98	0.049	0.135	381	NA
YJR135C	MCM22	12	11.7	13.2	12.5	12.7	11.7	12.3	0.6	0.065	0.030	131	NA
YJR135W-A	TIM8	163.6	168.4	172.6	182	172.6	176.6	172.63	6.37	0.027	0.089	569	NA
YJR136C	YJR136C	27.6	27.8	28.3	28.2	30.5	30.5	28.82	1.33	0.013	0.034	512	NA
YJR137C	ECM17	75.2	75.6	76.1	72.3	73.7	73.1	74.33	1.52	0.006	0.066	1081	NA
YJR138W	IML1	39.4	37.8	37.1	41.3	40.9	39	39.25	1.66	0.031	0.056	315	NA
YJR139C	HOM6	445.4	433.3	432.8	445.3	433.3	444	439.02	6.47	0.016	0.027	4849	NA
YJR140C	HIR3	28.6	27	27.8	29.8	29.6	27.3	28.35	1.18	0.029	0.021	487	NA
YJR140W-A	YJR140W-A	1.1	0.6	0.4	0.6	1	0.4	0.68	0.3	0.515	0.438	NA	NA
YJR141W	YJR141W	26.2	30.1	26.8	28	24.7	25	26.8	2.02	0.076	0.033	521	NA
YJR142W	YJR142W	56.9	56	57.5	55.8	57.7	54.1	56.33	1.34	0.013	0.062	564	NA
YJR143C	PMT4	173.2	172	172.6	172.9	177.8	169.4	172.98	2.73	0.003	0.009	2583	NA
YJR144W	MGM101	86	82.7	88.1	83	84.9	83.9	84.77	2.04	0.032	0.027	390	NA
YJR146W	YJR146W	0.9	0.5	0.8	0.8	1	1.3	0.88	0.26	0.284	0.069	NA	NA
YJR147W	HMS2	16.1	13.8	17.5	14.8	16.9	14.2	15.55	1.51	0.118	0.096	173	NA
YJR148W	BAT2	262	256.4	260.9	267	255.5	255	259.47	4.7	0.011	0.043	3604	NA
YJR149W	YJR149W	34.3	35.1	36.6	35.5	35.7	35.2	35.4	0.76	0.033	0.047	375	NA
YJR150C	DAN1	14.8	13.8	16.2	17.2	14.3	15.8	15.35	1.28	0.081	0.140	103	NA
YJR151C	DAN4	21.5	18.8	18.4	20.7	20.2	21.1	20.12	1.26	0.086	0.022	475	NA
YJR151W-A	YJR151W-A	0.5	0.4	0.4	0.3	0.2	0.3	0.35	0.1	0.133	0.458	18	NA
YJR152W	DAL5	14.5	15.1	12	13.4	14.7	14	13.95	1.12	0.119	0.047	370	NA
YJR153W	PGU1	1	0.6	0.5	0.6	0.8	0.9	0.73	0.2	0.378	0.250	36	NA
YJR154W	YJR154W	15.8	14.8	16	15.5	11.7	15.2	14.83	1.59	0.041	0.010	62	NA
YJR155W	AAD10	23.7	24.7	19.3	25	26.7	22.8	23.7	2.52	0.127	0.068	796	NA
YJR156C	THI11	18.8	16	22.4	17	24.3	17.7	19.37	3.27	0.168	0.111	NA	NA
YJR157W	YJR157W	1.9	1.8	2.8	1.6	1.5	1.5	1.85	0.49	0.254	0.114	NA	NA
YJR158W	HXT16	0.5	0.1	0.6	0.6	0.1	0.4	0.38	0.23	0.661	0.200	NA	NA
YJR159W	SOR1	14.2	16.5	14.6	13.6	14.5	13.3	14.45	1.13	0.081	0.114	NA	NA
YJR160C	MPH3	2.8	4.4	4.5	5.5	2.2	3.7	3.85	1.21	0.245	0.371	NA	NA
YJR161C	COS5	9.8	8.3	9	9.4	9.1	9.6	9.2	0.53	0.083	0.032	NA	NA
YKL001C	MET14	87.7	84	87.1	86.9	88.5	86.7	86.82	1.53	0.023	0.005	837	NA
YKL003C	MRP17	78.1	82.4	75.3	77.4	78.5	82.6	79.05	2.89	0.046	0.068	407	NA
YKL004W	AUR1	109.8	115.8	117.6	102.9	119.3	114.5	113.32	6.04	0.036	0.041	5666	NA
YKL005C	BYE1	72.2	72.2	70	67.6	68.2	70	70.03	1.93	0.018	0.035	682	NA
YKL007W	CAP1	114.7	117.9	115.6	115.5	118.7	126	118.07	4.18	0.014	0.058	642	NA
YKL008C	LAC1	213.8	216.5	209.5	219.1	217.3	220.3	216.08	3.93	0.017	0.027	6592	NA
YKL009W	MRT4	380.4	381.3	387.5	359.6	359.5	375.8	374.02	11.81	0.010	0.036	2190	NA
YKL010C	UFD4	86.5	91.3	83.1	87.7	92.7	89.2	88.42	3.46	0.047	0.046	1547	NA
YKL011C	CCE1	33	34.1	35.8	38.8	32.6	31.9	34.37	2.56	0.041	0.084	370	NA
YKL012W	PRP40	46.4	45.9	44.7	49.1	48.2	47.3	46.93	1.6	0.019	0.082	712	NA
YKL013C	ARC19	159.6	166.9	164.1	171.2	164	169.5	165.88	4.21	0.023	0.046	925	NA
YKL014C	URB1	87.5	85.6	86.6	86	88.8	85.8	86.72	1.23	0.011	0.059	878	NA
YKL015W	PUT3	52.7	53.4	56.1	51	51.1	53	52.88	1.86	0.033	0.050	536	NA
YKL016C	ATP7	275	280.1	275.8	276.4	283.7	274.3	277.55	3.63	0.010	0.034	2269	NA
YKL017C	HCS1	26.7	24.7	28.8	25.7	28.5	30.4	27.47	2.14	0.077	0.101	279	NA
YKL018C-A	YKL018C-A	70.9	75.1	70.5	66.3	60.2	64.3	67.88	5.34	0.035	0.034	314	NA
YKL018W	SWD2	42.7	43.2	45.5	47.7	40.5	46.7	44.38	2.72	0.034	0.056	671	NA
YKL019W	RAM2	44.6	43	47.9	44.4	46	45.5	45.23	1.66	0.055	0.013	498	NA
YKL020C	SPT23	52.3	52.2	49.8	51.2	52.4	57.3	52.53	2.54	0.028	0.036	645	NA
YKL021C	MAK11	89.7	87.8	89.5	86.7	87.1	86.4	87.87	1.42	0.012	0.020	1051	NA
YKL022C	CDC16	39.5	34.8	35.3	40.2	38.4	38.2	37.73	2.21	0.071	0.014	654	NA
YKL023C-A	YKL023C-A	48.9	53.4	50.3	51.5	55.9	57.6	52.93	3.35	0.045	0.043	NA	NA
YKL023W	YKL023W	42.6	43.6	40.7	45	41.8	45	43.12	1.74	0.035	0.029	431	NA
YKL024C	URA6	102	95.9	99.1	97.2	95.9	96	97.68	2.45	0.031	0.046	1029	NA
YKL025C	PAN3	64.3	59	61.7	63.5	63.6	66.5	63.1	2.54	0.043	0.016	1068	NA
YKL026C	GPX1	30.5	26.7	26.5	28.7	30.5	29.4	28.72	1.78	0.081	0.046	275	NA
YKL027W	YKL027W	59.3	60	59.3	60.6	61.7	62.8	60.62	1.4	0.007	0.024	543	NA
YKL028W	TFA1	88.7	88.6	94.4	87.8	85.4	85.5	88.4	3.28	0.037	0.035	1092	NA
YKL029C	MAE1	115.6	114.5	116	114.1	117	116.9	115.68	1.2	0.007	0.053	1416	NA
YKL030W	YKL030W	1.6	2.3	1.8	2.4	3.2	2.5	2.3	0.57	0.190	0.205	NA	NA
YKL031W	YKL031W	1.9	2.6	2.2	1.9	2	1.6	2.03	0.34	0.157	0.259	NA	NA
YKL032C	IXR1	119.4	119.9	118.7	120.5	118.3	119.2	119.33	0.8	0.005	0.029	1484	NA
YKL033W	YKL033W	24.2	23.2	23.8	25.1	23.9	25.1	24.22	0.76	0.021	0.085	306	NA
YKL033W-A	YKL033W-A	187.9	191.1	189.3	207.9	208	207.6	198.63	10.13	0.008	0.072	3284	NA
YKL034W	TUL1	31.3	37.2	33.9	34.6	34.3	31	33.72	2.3	0.087	0.081	744	NA
YKL035W	UGP1	291.3	288.1	295	284.5	286.5	284	288.23	4.24	0.012	0.019	3682	NA
YKL036C	YKL036C	11.7	11	12.6	11.8	12	11.3	11.73	0.56	0.068	0.069	NA	NA
YKL037W	YKL037W	6.2	7.4	8.6	8.2	10.1	8	8.08	1.29	0.162	0.189	57	NA
YKL038W	RGT1	35.1	36.4	37.1	34.8	39.8	35.9	36.52	1.81	0.028	0.013	530	NA
YKL039W	PTM1	97.8	99	92.8	93.1	99.1	103.1	97.48	3.94	0.034	0.028	1709	NA
YKL040C	NFU1	64.3	63.7	63.7	66.8	65.2	66.7	65.07	1.42	0.005	0.043	443	NA
YKL041W	VPS24	65.5	67.9	65.1	67.8	65.6	65.1	66.17	1.32	0.023	0.075	356	NA
YKL042W	SPC42	40.7	35.7	37.8	34.8	36.8	36.9	37.12	2.04	0.066	0.084	578	NA
YKL043W	PHD1	71.2	66.1	69.3	75.7	77.1	80.1	73.25	5.27	0.037	0.179	1808	NA
YKL044W	YKL044W	43.6	45.7	46.1	45.5	36.4	39.4	42.78	3.99	0.030	0.076	NA	NA
YKL045W	PRI2	47.2	46.2	44.8	50.5	50.6	52.9	48.7	3.1	0.026	0.065	639	NA
YKL046C	DCW1	235.4	243	260.2	251.7	257	248.9	249.37	9.13	0.052	0.082	1088	NA
YKL047W	YKL047W	28.1	25.1	26	28.3	29.9	28.1	27.58	1.74	0.058	0.015	476	NA
YKL048C	ELM1	19.6	20.5	20.8	20.6	20.6	22.2	20.72	0.84	0.031	0.108	401	NA
YKL049C	CSE4	41	39.1	39.6	38.5	39.5	39	39.45	0.85	0.025	0.042	396	NA
YKL050C	YKL050C	12.3	14.4	16.1	15.9	13.1	13.2	14.17	1.57	0.133	0.129	145	NA
YKL051W	SFK1	105.7	107.9	104.5	102.9	102.9	107.2	105.18	2.13	0.016	0.019	942	NA
YKL052C	ASK1	53.5	53.7	51.2	49.5	51.7	47.5	51.18	2.38	0.026	0.061	679	NA
YKL053C-A	MDM35	122.9	123.4	124.1	110.3	113.3	113.7	117.95	6.17	0.005	0.109	660	NA
YKL053W	YKL053W	3.9	5.6	7.1	5.8	6.2	6.9	5.92	1.15	0.289	0.205	NA	NA
YKL054C	DEF1	306.1	304.1	312.3	304.4	307.9	299.3	305.68	4.33	0.014	0.003	2472	NA
YKL055C	OAR1	6.3	7.2	5.8	6.9	6.6	6.4	6.53	0.49	0.110	0.079	76	NA
YKL056C	TMA19	2287.5	2300.8	2295.8	2437	2427.6	2413.4	2360.35	72.43	0.003	0.032	13525	NA
YKL057C	NUP120	81.4	80.6	85.2	87.1	83.2	83.6	83.52	2.4	0.030	0.038	892	NA
YKL058W	TOA2	163.7	161.3	167.6	161.3	157.7	163.1	162.45	3.28	0.019	0.026	850	NA
YKL059C	MPE1	35	36	34.1	33	34.5	31.7	34.05	1.52	0.027	0.064	395	NA
YKL060C	FBA1	8019.2	8091.5	8109.9	7811	7888.5	7845.6	7960.95	129.35	0.006	0.041	20549	NA
YKL061W	YKL061W	36.8	36.4	42.2	37.9	35.8	36.9	37.67	2.33	0.084	0.059	36	NA
YKL062W	MSN4	74.1	78.7	74.7	78.7	79.6	76.6	77.07	2.3	0.033	0.030	915	NA
YKL063C	YKL063C	104.9	100	102.4	107.5	105.7	106.3	104.47	2.77	0.024	0.020	621	NA
YKL064W	MNR2	79.3	81.4	80.4	82	83	83.9	81.67	1.68	0.013	0.069	972	NA
YKL065C	YET1	210	209	210.5	212.4	209.8	205.6	209.55	2.24	0.004	0.042	1710	NA
YKL065W-A	YKL065W-A	6.9	7.2	7.7	6.6	6.4	5.6	6.73	0.72	0.056	0.073	NA	NA
YKL066W	YKL066W	37.4	38	37.8	37.9	41.2	40.2	38.75	1.56	0.008	0.011	NA	NA
YKL067W	YNK1	294.4	297.4	301	313.7	294.5	300.9	300.32	7.17	0.011	0.042	1603	NA
YKL068W	NUP100	81.4	87.1	86.5	85.6	83.8	84.9	84.88	2.07	0.037	0.041	1483	NA
YKL068W-A	YKL068W-A	170.7	171.8	174.7	169.2	172.5	168.3	171.2	2.32	0.012	0.057	569	NA
YKL069W	YKL069W	29.5	27.8	31.4	30.3	32.6	32.7	30.72	1.9	0.061	0.061	337	NA
YKL070W	YKL070W	6.4	5.4	6	7.2	6	5.8	6.13	0.62	0.085	0.069	210	NA
YKL071W	YKL071W	67.2	63.9	63.3	68.7	64.5	64	65.27	2.17	0.032	0.048	655	NA
YKL072W	STB6	30.3	30.1	29.4	29.3	31.1	29.1	29.88	0.76	0.016	0.021	309	NA
YKL073W	LHS1	60.6	58	59.7	64.5	60.7	64.1	61.27	2.54	0.022	0.033	691	NA
YKL074C	MUD2	31.8	30.2	32.3	28.4	30.1	34.2	31.17	2.03	0.035	0.071	600	NA
YKL075C	YKL075C	37.1	36.3	34.4	31.8	34.7	36.9	35.2	2.01	0.039	0.105	280	NA
YKL076C	PSY1	6.1	4.4	5.5	5.5	6.3	5	5.47	0.7	0.162	0.059	NA	NA
YKL077W	YKL077W	137.7	126.4	132.9	125.8	138	141.1	133.65	6.41	0.043	0.048	2434	NA
YKL078W	DHR2	41.4	43.2	39.4	37.1	38.5	40.8	40.07	2.18	0.046	0.061	974	NA
YKL079W	SMY1	35.1	34.6	37.2	37.5	39	35.9	36.55	1.65	0.039	0.082	971	NA
YKL080W	VMA5	226.3	229.4	232.7	242.8	236.2	239.4	234.47	6.2	0.014	0.035	4152	NA
YKL082C	RRP14	167.7	163.7	165.4	181.7	170.1	178.7	171.22	7.35	0.012	0.171	3957	NA
YKL083W	YKL083W	2.1	1.8	1.6	2.6	3.2	2.6	2.32	0.59	0.137	0.260	NA	NA
YKL084W	HOT13	82.1	83.7	87	80.9	85.3	82.3	83.55	2.27	0.030	0.044	386	NA
YKL085W	MDH1	338.9	332.2	331.9	362.2	353.4	360	346.43	13.8	0.012	0.093	4058	NA
YKL086W	SRX1	11.8	10.4	10	10.5	11.4	10.6	10.78	0.68	0.088	0.079	37	NA
YKL087C	CYT2	52.1	54.2	47.3	53.1	49.3	55.5	51.92	3.09	0.069	0.020	379	NA
YKL088W	YKL088W	36.2	35.3	33	36.1	31.7	35.5	34.63	1.85	0.047	0.027	216	NA
YKL089W	MIF2	29	26.1	29	28.4	29.8	32.4	29.12	2.04	0.060	0.044	631	NA
YKL090W	CUE2	22.7	22.5	24.1	22.2	23.1	23	22.93	0.66	0.038	0.014	278	NA
YKL091C	YKL091C	38.3	35.9	36.9	37.6	36.9	37.4	37.17	0.81	0.033	0.053	485	NA
YKL092C	BUD2	32	32.4	32.2	34.1	30.8	35.2	32.78	1.59	0.006	0.034	459	NA
YKL093W	MBR1	9.2	10.5	7.7	8.4	10	9.3	9.18	1.02	0.153	0.050	114	NA
YKL094W	YJU3	95	91.6	85.5	92.8	99.5	96	93.4	4.74	0.053	0.012	1355	NA
YKL095W	YJU2	13.1	13.6	15.8	13.7	12.1	16.7	14.17	1.73	0.101	0.085	137	NA
YKL096C-B	YKL096C-B	2.3	2.1	1.5	2.1	1.7	2.1	1.97	0.3	0.212	0.244	1	NA
YKL096W	CWP1	145.4	147.8	146.5	147.6	148.2	148.2	147.28	1.11	0.008	0.083	809	NA
YKL096W-A	CWP2	9827	9902.7	9891.4	8992.3	9281.6	9003.9	9483.15	440.94	0.004	0.062	12250	NA
YKL097C	YKL097C	0.7	1	0.7	0.9	0.7	0.7	0.78	0.13	0.217	0.222	NA	NA
YKL098W	YKL098W	39.3	40	38.6	36.3	34.6	36.1	37.48	2.12	0.018	0.046	699	NA
YKL099C	UTP11	70.5	71.3	71.1	72.5	72.4	76.6	72.4	2.2	0.006	0.034	650	NA
YKL100C	YKL100C	85.4	92.3	87.3	86.4	91	94.6	89.5	3.67	0.040	0.008	1240	NA
YKL100W-A	YKL100W-A	0	0.1	0.1	0	0.1	0.1	0.07	0.05	0.866	N/A	NA	NA
YKL101W	HSL1	90.9	92.3	94.8	93.1	97.8	96.8	94.28	2.67	0.021	0.042	1412	NA
YKL102C	YKL102C	3.4	3.4	2.4	3.1	2.7	2.2	2.87	0.51	0.188	0.047	NA	NA
YKL103C	LAP4	117.5	117.7	125.9	116	113.7	113.9	117.45	4.48	0.040	0.069	1258	NA
YKL104C	GFA1	217.8	200.5	221.4	219.3	220.4	213.2	215.43	7.86	0.052	0.033	1908	NA
YKL105C	YKL105C	32.6	32.5	28.5	27.9	29.4	34	30.82	2.53	0.075	0.081	407	NA
YKL106C-A	YKL106C-A	1.1	1.3	0.9	1.6	1.2	1	1.18	0.25	0.182	0.184	1	NA
YKL106W	AAT1	48.9	48.8	46.5	51.6	55.6	49.4	50.13	3.13	0.028	0.033	667	NA
YKL107W	YKL107W	2.6	2.1	1.6	1.9	1.5	2.1	1.97	0.4	0.238	0.337	47	NA
YKL108W	SLD2	29.8	28.6	32	32.5	29.4	31.5	30.63	1.58	0.057	0.060	184	NA
YKL109W	HAP4	197.8	200.1	199.1	225.8	226.7	229.2	213.12	15.52	0.006	0.158	3612	NA
YKL110C	KTI12	85.8	82.9	83.7	80.6	84.8	85.7	83.92	1.98	0.018	0.048	737	NA
YKL111C	YKL111C	5.9	8.1	6.3	7.7	10.4	8.7	7.85	1.64	0.173	0.228	NA	NA
YKL112W	ABF1	61.9	58.3	64.1	63.1	68.4	61.8	62.93	3.32	0.048	0.045	679	NA
YKL113C	RAD27	59.6	61.5	57.3	61.1	60.4	59.9	59.97	1.49	0.035	0.013	1419	NA
YKL114C	APN1	90.6	87.1	87.2	89.7	86.6	86.9	88.02	1.69	0.023	0.028	575	NA
YKL115C	YKL115C	2.5	1.3	1	2.7	3.2	3.1	2.3	0.93	0.496	0.147	NA	NA
YKL116C	PRR1	43.8	44.5	41.5	41.5	39.8	39.2	41.72	2.11	0.036	0.029	423	NA
YKL117W	SBA1	658.8	660.5	667.2	682.5	626.7	679.5	662.53	20.05	0.007	0.020	1544	NA
YKL118W	YKL118W	2.9	2.5	2.7	2.6	2.6	2.2	2.58	0.23	0.074	0.185	NA	NA
YKL119C	VPH2	65.2	67.7	66.2	67.1	66.2	64.5	66.15	1.18	0.019	0.052	655	NA
YKL120W	OAC1	74.8	72.7	77.2	76.3	79.3	75.3	75.93	2.25	0.030	0.071	1209	NA
YKL121W	YKL121W	23	23.4	22.1	24.3	23	24	23.3	0.79	0.029	0.048	550	NA
YKL122C	SRP21	299.7	295.5	306.1	317.7	301.3	318.2	306.42	9.56	0.018	0.035	1098	NA
YKL123W	YKL123W	1.3	1.9	1.4	2.6	2.8	1.5	1.92	0.64	0.210	0.331	NA	NA
YKL124W	SSH4	32.6	32.4	34	37	34.2	33.1	33.88	1.69	0.026	0.065	215	NA
YKL125W	RRN3	82.4	84.5	88	80.3	81.3	79	82.58	3.25	0.033	0.013	1166	NA
YKL126W	YPK1	117.9	117.9	122.5	116	120.7	123.4	119.73	2.92	0.022	0.041	1635	NA
YKL127W	PGM1	93.4	96.6	94.2	98.4	99.3	103.2	97.52	3.61	0.018	0.027	1450	NA
YKL128C	PMU1	82.3	86.7	86.9	90.6	91.6	88.9	87.83	3.34	0.030	0.056	1603	NA
YKL129C	MYO3	35.5	34.8	31.9	35.4	34.5	36	34.68	1.46	0.056	0.017	549	NA
YKL130C	SHE2	55.8	52.4	53.6	51.1	52.2	53.8	53.15	1.63	0.032	0.048	602	NA
YKL131W	YKL131W	0.5	0.6	0.4	0.3	0.6	0.7	0.52	0.15	0.200	0.601	NA	NA
YKL132C	RMA1	16.3	15.2	17.1	17.7	16.2	16.7	16.53	0.85	0.059	0.049	268	NA
YKL133C	YKL133C	15.1	15.9	16.4	16.4	16.2	17.7	16.28	0.85	0.042	0.088	275	NA
YKL134C	1-Oct	18.7	17.9	19	17.9	19.8	19	18.72	0.73	0.031	0.143	111	NA
YKL135C	APL2	78.7	78.8	74.1	82.5	75.7	79.2	78.17	2.94	0.035	0.028	1568	NA
YKL136W	YKL136W	5	4.1	4.1	4.5	5.8	4.3	4.63	0.66	0.118	0.056	NA	NA
YKL137W	YKL137W	57.2	59.8	61.2	60.5	61.6	63.2	60.58	2.02	0.034	0.060	213	NA
YKL138C	MRPL31	55.6	57.6	52.9	51.3	53.2	59.2	54.97	3.04	0.043	0.044	747	NA
YKL138C-A	HSK3	53	50.4	52.8	47.6	52	51.8	51.27	2.02	0.028	0.055	61	NA
YKL139W	CTK1	38.1	40.2	39.2	39.5	37.9	39.6	39.08	0.9	0.027	0.018	471	NA
YKL140W	TGL1	51.8	51.2	51.1	48.9	50.2	49.3	50.42	1.15	0.007	0.056	962	NA
YKL141W	SDH3	175.9	183.2	187	194.6	183	188.4	185.35	6.28	0.031	0.057	1054	NA
YKL142W	MRP8	197.4	197.8	200.9	217.7	211.2	211.6	206.1	8.51	0.010	0.113	1996	NA
YKL143W	LTV1	66.7	68.7	71.9	66	63.9	64.2	66.9	3.01	0.038	0.086	767	NA
YKL144C	RPC25	50.1	51.8	51.1	50	48.2	49.6	50.13	1.25	0.017	0.021	212	NA
YKL145W	RPT1	212.5	216.2	209.4	209.6	202.1	209.5	209.88	4.64	0.016	0.046	2524	NA
YKL145W-A	YKL145W-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YKL146W	AVT3	51	47.7	50.8	48.3	52.8	54	50.77	2.45	0.037	0.031	1435	NA
YKL147C	YKL147C	1.2	1.7	1.6	1.9	1.9	1.5	1.63	0.27	0.176	0.311	NA	NA
YKL148C	SDH1	93.3	91	89	89.8	91.2	90.6	90.82	1.46	0.024	0.031	1445	NA
YKL149C	DBR1	39.5	37.4	38.3	41.9	41.6	39.1	39.63	1.79	0.027	0.034	396	NA
YKL150W	MCR1	176.4	166.9	176.9	174.2	173.7	174	173.68	3.58	0.032	0.024	1375	NA
YKL151C	YKL151C	61.6	61.5	60.6	59.1	60.2	60.7	60.62	0.92	0.009	0.027	485	NA
YKL152C	GPM1	6459.3	6470.1	6528.7	6246.5	6312.8	6282.1	6383.25	116.94	0.006	0.036	19793	NA
YKL153W	YKL153W	1.1	0.6	0.9	0.7	0.5	0.7	0.75	0.22	0.290	0.331	NA	NA
YKL154W	SRP102	90.6	90.1	89.6	89.2	89.7	89.5	89.78	0.5	0.006	0.027	466	NA
YKL155C	RSM22	51.8	52.3	48.5	49.1	48.7	49.7	50.02	1.64	0.041	0.074	480	NA
YKL156C-A	YKL156C-A	0	0.1	0.2	0.1	0.2	0	0.1	0.09	1.000	1.732	NA	NA
YKL159C	RCN1	27.3	30.7	30.4	30.3	26.4	26.4	28.58	2.09	0.064	0.060	196	NA
YKL160W	ELF1	147.6	153.9	149.7	138.2	120.6	141.4	141.9	11.87	0.021	0.036	872	NA
YKL161C	YKL161C	11.2	10.9	12.5	11.5	11.5	13.3	11.82	0.9	0.074	0.013	193	NA
YKL162C	YKL162C	17.3	12.8	12.7	15.6	14.9	15.5	14.8	1.78	0.184	0.063	156	NA
YKL162C-A	YKL162C-A	6.4	7.4	7.8	6.4	6.2	6.1	6.72	0.71	0.100	0.110	NA	NA
YKL163W	PIR3	45.7	45.6	44.5	48.4	49	45.8	46.5	1.78	0.015	0.040	469	NA
YKL164C	PIR1	445.2	446.8	439.8	430.8	430.9	431.7	437.53	7.39	0.008	0.060	2725	NA
YKL165C	MCD4	51.3	56.4	54.2	56.4	55.1	52.8	54.37	2.03	0.047	0.061	1802	NA
YKL165C-A	YKL165C-A	6.6	5.2	5.2	3.9	5.3	6	5.37	0.91	0.143	0.264	NA	NA
YKL166C	TPK3	118.4	121.7	124.2	126.4	116.3	118.2	120.87	3.91	0.024	0.129	852	NA
YKL167C	MRP49	75.4	76.1	74.5	84.5	75.4	75.7	76.93	3.74	0.011	0.057	531	NA
YKL168C	KKQ8	29.1	31.4	31.1	34.1	34.3	33.7	32.28	2.08	0.041	0.087	186	NA
YKL169C	YKL169C	2.7	2.8	2.5	2.1	3.2	2.4	2.62	0.38	0.057	0.208	NA	NA
YKL170W	MRPL38	60.6	58.3	60.8	64.4	66.4	62.4	62.15	2.91	0.023	0.038	742	NA
YKL171W	YKL171W	22.7	21.6	20.8	21.6	20.3	21.1	21.35	0.83	0.044	0.046	427	NA
YKL172W	EBP2	432.1	431.8	435.9	506.7	497.9	510.4	469.13	39.53	0.005	0.201	1773	NA
YKL173W	SNU114	40.6	40.1	41.6	38	39.4	38.3	39.67	1.38	0.019	0.059	550	NA
YKL174C	TPO5	42.6	43.6	42.5	44.3	39.9	43.5	42.73	1.54	0.014	0.070	642	NA
YKL175W	ZRT3	88.9	92.5	92	93	95.3	94	92.62	2.17	0.021	0.058	3239	NA
YKL176C	LST4	61.8	58.1	57.8	58.8	61.3	59.9	59.62	1.67	0.038	0.039	1112	NA
YKL177W	YKL177W	1.4	1.3	0.8	1.7	1.6	1.2	1.33	0.32	0.276	0.115	NA	NA
YKL178C	STE3	221.8	222.7	217.5	226.5	235	233.8	226.22	6.97	0.013	0.016	2047	NA
YKL179C	COY1	55.1	52.9	49.8	54.8	52.8	52.8	53.03	1.9	0.051	0.005	1338	NA
YKL181W	PRS1	265	273.3	271.6	272.1	271.5	268.2	270.28	3.09	0.016	0.021	3595	NA
YKL182W	FAS1	554.5	550	539.6	555	564.9	555.8	553.3	8.29	0.014	0.011	7385	NA
YKL183C-A	YKL183C-A	1.5	1.8	2	2.3	2.9	2.3	2.13	0.48	0.142	0.261	92	NA
YKL183W	LOT5	35.2	34.9	36.2	41.1	36.6	38.1	37.02	2.3	0.019	0.081	405	NA
YKL184W	SPE1	97.3	96.9	98.1	98.2	98.9	102	98.57	1.82	0.006	0.024	866	NA
YKL185W	ASH1	76.5	81.4	76.2	77.2	78.1	79.5	78.15	1.99	0.037	0.045	2919	NA
YKL186C	MTR2	78.2	74.3	79.4	81.3	78.5	83.5	79.2	3.11	0.034	0.025	712	NA
YKL187C	YKL187C	8.1	8.3	8.3	10.1	7.9	8.1	8.47	0.81	0.014	0.119	48	NA
YKL188C	PXA2	18.4	19.8	18.8	17.6	19.1	20.8	19.08	1.11	0.038	0.118	233	NA
YKL189W	HYM1	42.9	45.8	47.2	41.5	47.9	48.3	45.6	2.8	0.048	0.029	727	NA
YKL191W	DPH2	62.5	67.7	64.7	63	64.3	68	65.03	2.33	0.040	0.054	1333	NA
YKL192C	ACP1	698.5	707.5	692.6	653.4	695.9	653.5	683.57	23.85	0.011	0.042	1103	NA
YKL193C	SDS22	77.8	80.1	78.6	86.2	83.7	82.4	81.47	3.22	0.015	0.052	634	NA
YKL194C	MST1	22.7	24.1	21.6	23.4	25	23.3	23.35	1.16	0.055	0.054	205	NA
YKL195W	MIA40	152.9	152.8	149.7	149.6	145.7	148.7	149.9	2.71	0.012	0.016	1295	NA
YKL196C	YKT6	229.3	213.6	220.3	224.6	214.4	229.1	221.88	6.95	0.036	0.028	2272	NA
YKL197C	PEX1	16	16	18.9	18.5	17.8	21.6	18.13	2.1	0.099	0.121	179	NA
YKL198C	PTK1	31.8	34.1	33.2	31.3	35.7	33	33.18	1.59	0.035	0.024	709	NA
YKL201C	MNN4	102.9	106.3	106.8	115.2	121.2	117.9	111.72	7.37	0.020	0.233	991	NA
YKL202W	YKL202W	0.5	0.8	0.8	0.7	0.4	0.9	0.68	0.19	0.247	0.286	NA	NA
YKL203C	TOR2	54.9	59.1	54.3	59.1	55.7	56.3	56.57	2.08	0.047	0.046	606	NA
YKL204W	EAP1	96.1	95.3	99.5	105.9	107.3	106.3	101.73	5.43	0.023	0.090	575	NA
YKL205W	LOS1	75.3	73.7	73.8	77	79.3	73.5	75.43	2.32	0.012	0.016	839	NA
YKL206C	ADD66	53.4	53.7	55.1	59.9	57.5	61.4	56.83	3.33	0.017	0.061	813	NA
YKL207W	YKL207W	141	144.4	140	151.7	153.3	150	146.73	5.69	0.016	0.048	1065	NA
YKL208W	CBT1	15.8	14.7	16.1	14.5	17.1	16.7	15.82	1.05	0.047	0.063	215	NA
YKL209C	STE6	13.8	13.6	13.1	12.5	13.7	14.1	13.47	0.58	0.027	0.061	198	NA
