#Supplemental Table 3: Protein identification using 15 cm columns, 3 µm C18 beads and 140 min gradients.
#Protein IDs	Gene name	Uniprot	Peptides	Razor Peptides	Unique Peptides	Sequence Coverage [%]	Mol. Weight [kDa]	PEP	Intensity Exp1	Intensity Exp2	Intensity Exp3
orf	protein.name	gene.name	uniprot	peptides	razor.peptides	unique.peptides	sequence.coverage	mw	pep	intensity.exp1	intensity.exp2	intensity.exp3
YJR139C	Homoserine dehydrogenase	HOM6;J2132;YJR139C	P31116	13	13	13	45.4	38.5	1.0754E-74	12646000	7989400	4667100
YNL004W	Protein HRB1;Protein TOM34	HRB1;N2009;TOM34;YNL004W	A2TBM5;P38922;Q06HN4	2	2	2	5.7	52.1	0.000094391	111650	143030	43164
YJL061W	Nuclear pore protein NUP82;Nucleoporin NUP82	HRB187;J1135;NUP82;YJL061W	P40368	1	1	1	1.1	82.1	9.7673E-06	0	38083	27594
YBL017C;YIL173W;YJL222W;YNR065C	Carboxypeptidase Y receptor;Carboxypeptidase Y-deficient protein 1;Protein VTH1;Protein VTH2;Uncharacterized membrane glycoprotein YNR065C;Vacuolar carboxypeptidase sorting receptor VPS10;Vacuolar protein sorting/targeting protein PEP1;Vacuolar protein sorting-associated protein 10;Vacuolar protein-targeting protein 1;VPS10 homolog 1;VPS10 homolog 2	HRC1549;J0213;N3539;PEP1;VPS10;VPT1;VTH1;VTH2;YBL017C;YBL03.22;YBL0302;YIL173W;YJL222W;YNR065C	P32319;P40438;P40890;P53751	1	1	1	0.7	177.8	0.0097367	83436	80740	0
YJL217W	Uncharacterized protein YJL217W	HRC198;J0226;YJL217W	P40893	1	1	1	7.1	22.0	4.7145E-13	319020	63079	27271
YHR027C	26S proteasome regulatory subunit RPN1;HMG-CoA reductase degradation protein 2;Proteasome non-ATPase subunit 1;Putative uncharacterized protein	HRD2;NAS1;RPD1;RPN1;YHR027C	D3DKX4;P38764	14	14	14	18	109.5	5.1428E-88	1835800	2183400	1602800
YGL242C	Ankyrin repeat-containing protein YGL242C	HRE181;YGL242C	P53066	1	1	1	5	20.1	0.00035521	0	217360	174130
YJL066C	Mitochondrial peculiar membrane protein 1	HRE252;J1111;MPM1;YJL066C	P40364	3	3	3	18.7	28.5	5.9393E-08	0	283570	74506
YJL068C	S-formylglutathione hydrolase	HRE299;J1102;YJL068C	P40363	2	2	2	6.7	33.9	1.3353E-07	58678	0	33653
YOL097C	Tryptophan--tRNA ligase;Tryptophanyl-tRNA synthetase, cytoplasmic	HRE432;WRS1;YOL097C	Q12109	8	8	8	23.8	49.4	4.9378E-65	1504800	3183700	1904800
YOL123W	Cleavage factor IB;Nuclear polyadenylated RNA-binding protein 4	HRP1;NAB4;NAB5;YOL123W	Q02741;Q99383	5	5	5	15	59.6	1.062E-84	1422100	1420100	1073900
YMR186W	82 kDa heat shock cognate protein;ATP-dependent molecular chaperone HSC82;Heat shock protein Hsp90 constitutive isoform	HSC82;YM8010.16;YMR186W	P15108	31	31	8	48.1	80.9	0	140800000	111630000	86049000
YBR169C	Heat shock protein homolog SSE2	HSP;SSE2;YBR1221;YBR169C	P32590	5	3	3	8.8	77.6	4.474E-22	0	136240	120390
YLL026W	Heat shock protein 104;Protein aggregation-remodeling factor HSP104	HSP104;L0948;YLL026W	P31539	15	15	15	21	102.0	3.2113E-174	68129000	21420000	23093000
YBR072W	26 kDa heat shock protein;Heat shock protein 26	HSP26;YBR0714;YBR072W	P15992;Q6B1V5	6	6	6	36.4	23.9	1.5296E-203	52905000	37448000	14851000
YDR171W	42 kDa heat shock protein;Heat shock protein 42	HSP42;YD9395.04;YDR171W	Q12329	1	1	1	2.9	42.8	6.3891E-24	290360	583190	315480
YLR259C	CPN60;Heat shock protein 60, mitochondrial;P66;Stimulator factor I 66 kDa component	HSP60;L8479.10;MIF4;YLR259C	P19882	18	18	18	36.9	60.8	0	16770000	17050000	14471000
YDR258C	Heat shock protein 78, mitochondrial	HSP78;YD9320A.08C;YDR258C	P33416;Q12137	9	9	9	14.2	91.3	0	5499200	2209900	948730
YPL240C	82 kDa heat shock protein;ATP-dependent molecular chaperone HSP82;Heat shock protein Hsp90 heat-inducible isoform	HSP82;HSP90;YPL240C	P02829	29	6	6	45.4	81.4	0	5414500	6947700	4449700
YBR171W	Protein HSS1;Sec62/63 complex 31.5 kDa subunit;Translocation protein SEC66	HSS1;SEC66;SEC71;YBR1232;YBR171W	P33754	1	1	1	5.3	24.2	0.0015452	119220	130040	68799
YPR033C	Histidine--tRNA ligase;Histidyl-tRNA synthetase, mitochondrial	HTS1;YP9367.13C;YPR033C	P07263;Q12095	5	5	5	11.2	60.0	1.4506E-18	1235600	672600	908070
YML058W-A	MEC1-mediated checkpoint protein HUG1	HUG1;YML058W-A	Q6Q5K6	1	1	1	10.3	7.5	0.00048927	267510	0	0
YJL080C	Protein HX;Protein SCP160	HX;J1017;SCP160;YJL080C	P06105	30	30	30	30.9	134.8	2.7072E-261	14063000	11710000	7679700
YHR092C;YHR096C	Hexose transporter with moderate affinity for glucose, induced in the presence of non-fermentable carbon sources, induced by a decrease in growth rate, contains an extended N-terminal domain relative to other HXTs;High-affinity glucose transporter of the major facilitator superfamily, expression is induced by low levels of glucose and repressed by high levels of glucose;Low-affinity glucose transporter HXT4;Low-affinity glucose transporter LGT1;Probable glucose transporter HXT5	HXT4;HXT5;LGT1;RAG1;YHR092C;YHR096C	D3DL44;D3DL46;P32467;P38695	2	2	2	5.4	62.0	1.0399E-35	158490	61506	179340
YEL034W	eIF-4D;Eukaryotic translation initiation factor 5A-2;Hyp2p;Hypusine-containing protein HP2	HYP2;SYGP-ORF21;TIF51A;YEL034W	D3DLL5;P23301	8	8	5	72	17.1	8.4968E-194	54601000	34874000	32432000
YIL051C	Isoleucine biosynthesis and maintenance of intact mitochondria 1;Maintenance of mitochondrial function 1;Protein MMF1, mitochondrial	IBM1;MMF1;YIL051C	P40185	6	6	6	58.6	15.9	2.5206E-161	12157000	12755000	9461500
YNL037C	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial;Isocitric dehydrogenase;NAD(+)-specific ICDH	IDH1;N2690;YNL037C	P28834	2	2	2	7.5	39.3	8.1893E-10	297600	0	363490
YOR136W	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial;Isocitric dehydrogenase;NAD(+)-specific ICDH	IDH2;O3326;YOR136W;YOR3326W	P28241	4	4	4	15.4	39.7	4.2413E-12	513100	665340	368430
YDL066W	IDP;Isocitrate dehydrogenase [NADP], mitochondrial;NADP(+)-specific ICDH;Oxalosuccinate decarboxylase	IDP1;YDL066W	P21954	4	4	4	12.1	48.2	2.75E-60	868600	427590	645890
YNL157W	Protein IGO1	IGO1;N1743;YNL157W	P53897	2	2	2	12.5	18.1	4.2776E-08	0	260300	87848
YBL076C	Isoleucine--tRNA ligase;Isoleucyl-tRNA synthetase, cytoplasmic	ILS1;YBL0734;YBL076C	P09436	20	20	20	21.5	123.0	0	19581000	6454500	5477600
YER086W	Ilv1p;Threonine deaminase;Threonine dehydratase, mitochondrial	ILV1;YER086W	D3DLZ2;P00927	6	6	6	17.9	63.8	2.5923E-89	301580	690100	318270
YMR108W	Acetohydroxy-acid synthase catalytic subunit;Acetolactate synthase catalytic subunit, mitochondrial	ILV2;SMR1;YM9718.07;YMR108W	P07342	14	14	14	30.9	74.9	2.4519E-168	11625000	12707000	6444100
YJR016C	2,3-dihydroxy acid hydrolyase;Dihydroxy-acid dehydratase, mitochondrial	ILV3;J1450;YJR016C	P39522	17	17	17	43.1	62.9	0	42234000	18081000	13656000
YLR355C	Acetohydroxy-acid reductoisomerase;Alpha-keto-beta-hydroxylacil reductoisomerase;Ketol-acid reductoisomerase, mitochondrial	ILV5;ILV5G;ILV5X;L9638.7;YLR355C	P06168	12	12	12	33.9	44.4	7.4663E-143	90330000	37102000	24502000
YCL009C	Acetohydroxy-acid synthase small subunit;Acetolactate synthase small subunit, mitochondrial	ILV6;YCL009C;YCL9C	P25605;P87009	2	2	2	9.4	34.0	0.00011758	379450	242330	159260
YLR432W	Probable inosine-5'-monophosphate dehydrogenase IMD3	IMD3;L9753.4;YLR432W	P50095	13	13	6	33.1	56.6	8.4563E-171	6791300	3767400	3547200
YML056C	Probable inosine-5'-monophosphate dehydrogenase IMD4	IMD4;YM9958.06C;YML056C	P50094;Q2VQW8	6	3	3	15.6	56.4	3.7381E-102	1395100	1392300	1495400
YJL153C	Inositol-3-phosphate synthase;Myo-inositol-1-phosphate synthase	INO1;J0610;YJL153C	P11986	6	6	6	15.2	59.6	7.481E-104	2290100	1881800	3034600
YOR109W	Inositol-1,4,5-trisphosphate 5-phosphatase 3;Suppressor of PMA1 protein 2;Synaptojanin-like protein 3	INP53;SJL3;SOP2;YOR109W;YOR3231w	Q12271	1	1	1	0.7	124.6	0.012931	12908	0	0
YBR011C	Inorganic pyrophosphatase;Pyrophosphate phospho-hydrolase	IPP1;PPA;PPA1;YBR011C;YBR0202	P00817	15	15	15	58.2	32.3	5.4748E-293	58659000	26843000	24341000
YMR203W	Mitochondrial import receptor subunit TOM40;Mitochondrial import site protein ISP42;Translocase of outer membrane 40 kDa subunit	ISP42;MOM38;TOM40;YM8325.04;YMR203W	P23644;Q6B1Q9	2	2	2	10.6	42.0	7.9726E-22	304320	203990	182720
YOR045W	Mitochondrial import receptor subunit TOM6;Mitochondrial import site protein ISP6;Translocase of outer membrane 6 kDa subunit	ISP6;TOM6;YOR045W	P33448	1	1	1	34.4	6.4	0.001818	23800	29134	28655
YJL190C;YLR367W	40S ribosomal protein S22-A;40S ribosomal protein S22-B;RP50;S24;YP58;YS22	J0355;L8039.6;RPS22A;RPS22B;RPS24;RPS24A;RPS24B;YJL190C;YLR367W	P04648;P0C0W1;Q3E7Y3	4	4	4	36.2	14.6	8.3866E-58	27452000	12768000	15703000
YJL177W;YKL180W	60S ribosomal protein L17-A;60S ribosomal protein L17-B;L20;L20A;YL17	J0493;RPL17;RPL17A;RPL17B;RPL20A;RPL20B;YJL177W;YKL180W	P05740;P46990	5	5	5	39.1	20.6	3.1421E-157	49685000	75297000	43704000
YJL171C	Uncharacterized protein YJL171C	J0512;YJL171C	P46992	2	2	2	8.6	43.0	2.8287E-25	0	31874	257160
YJL154C	Vacuolar protein sorting-associated protein 35;Vacuolar protein-targeting protein 7	J0580;VPS35;VPT7;YJL154C	P34110	1	1	1	1.3	109.1	4.2395E-31	103140	0	0
YJL148W	DNA-directed DNA-dependent RNA polymerase 34.5 kDa polypeptide;DNA-directed RNA polymerase I subunit RPA34	J0637;RPA34;YJL148W	P47006	2	2	2	6.9	26.9	0.0017478	0	373270	0
YJL138C;YKR059W	ATP-dependent RNA helicase eIF4A;Eukaryotic initiation factor 4A;p37;Stimulator factor I 37 kDa component;Translation initiation factor 1/2	J0660;TIF1;TIF2;TIF41A;TIF41B;YJL138C;YKR059W	P10081	11	11	11	39.7	44.7	1.664E-188	45551000	22873000	16587000
YJL136C;YKR057W	40S ribosomal protein S21-A;40S ribosomal protein S21-B;S26;YS25	J0664;RPS21A;RPS21B;RPS25;RPS25A;RPS25B;RPS26A;RPS26B;YJL136C;YKR057W	P05760;P0C0V8;Q3E754	4	4	4	46	9.8	3.4637E-60	44408000	121490000	78628000
YJL130C	Aspartate carbamoyltransferase;Glutamine-dependent carbamoyl-phosphate synthase;Protein URA1	J0686;URA2;YJL130C	A2TBN0;P07259;Q06HN1	26	26	25	17.2	245.1	0	9193100	7684600	5485600
YJL123C	UPF0615 protein YJL123C	J0718;YJL123C	P47018	4	4	4	10.7	53.5	3.4575E-44	372410	611150	386910
YJL109C	t-UTP10;U three protein 10;U3 protein 10 required for transcription;U3 small nucleolar RNA-associated protein 10	J0808;UTP10;YJL109C	P42945	2	2	2	2	200.1	3.0928E-07	28406	0	85813
YJL055W	LOG family protein YJL055W	J1148;YJL055W	P47044	4	4	4	24.1	26.9	3.0791E-14	608410	934570	0
YJL041W	Nuclear pore protein NSP1;Nucleoporin NSP1;Nucleoskeletal-like protein;p110	J1207;NSP1;YJL041W	P14907	6	6	6	14	86.5	4.6573E-38	87359	707930	164910
YJL012C	Phosphate metabolism protein 3;Vacuolar transporter chaperone 4	J1345;PHM3;VTC4;YJL012C	P47075;Q7Z872;Q86ZR4	5	5	5	7.1	83.2	2.6812E-12	321650	319830	417570
YJL002C	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1;Oligosaccharyl transferase 64 kDa subunit;Oligosaccharyl transferase subunit alpha;Oligosaccharyl transferase subunit OST1	J1404;NLT1;OST1;YJL002C	P41543	2	2	2	4.8	54.1	0.00022994	194880	444790	127980
YJL001W	Macropain subunit PRE3;Multicatalytic endopeptidase complex subunit PRE3;Proteasome component PRE3;Proteinase YSCE subunit PRE3	J1407;PRE3;YJL001W	P38624	2	2	2	10.2	23.5	0.0045644	205090	310800	268330
YJR002W	M phase phosphoprotein 10;U3 small nucleolar RNA-associated protein MPP10	J1411;MPP10;YJR002W;YJR83.5	P47083	1	1	1	1.3	67.0	0.0035638	0	37604	32992
YJR007W	Eukaryotic translation initiation factor 2 subunit alpha	J1429;sui2;SUI2;TIF211;YJR007W	P20459	10	10	10	35.2	34.7	1.9221E-109	3064600	5349000	1936400
YJR010W	ATP-sulfurylase;Methionine-requiring protein 3;Sulfate adenylate transferase;Sulfate adenylyltransferase	J1436;MET3;YJR010W	P08536;Q66R66	1	1	1	3.5	57.7	2.3921E-17	201250	0	140680
YJR014W	Density-regulated protein homolog;Translation machinery-associated protein 22	J1446;RBF22;TMA22;YJR014W;YJR83.12	P47089	3	3	3	21.7	22.5	2.2813E-11	0	278780	1108600
YJR024C	Methylthioribulose-1-phosphate dehydratase	J1545;MDE1;YJR024C;YJR83.18	P47095	1	1	1	4.9	27.4	0.12359	0	191350	0
YJR034W	Mitochondrial protein PET191	J1604;PET191;YJR034W	Q02772	1	1	1	10.2	12.4	0.0042494	37011	0	25794
YJR070C	Deoxyhypusine dioxygenase;Deoxyhypusine hydroxylase;Deoxyhypusine monooxygenase;Ligand of eIF5A protein 1	J1814;LIA1;MMD1;YJR070C	P47120	7	7	7	35.7	36.2	3.1628E-237	2629900	3039500	2976900
YJR077C	Mitochondrial import receptor;Mitochondrial phosphate carrier protein;mPic 1;p32;Phosphate transport protein	J1837;MIR1;YJR077C	P23641	5	5	5	24.4	32.8	5.5827E-29	386540	503810	175020
YBL039C;YJR103W	CTP synthase 1;CTP synthase 2;CTP synthetase 1;CTP synthetase 2;UTP--ammonia ligase 1;UTP--ammonia ligase 2	J1962;URA7;URA8;YBL039C;YBL0410;YJR103W	P28274;P38627	8	8	8	16.4	64.7	4.9003E-37	1127800	1335600	1239600
YJR104C	Superoxide dismutase [Cu-Zn]	J1968;SOD1;YJR104C	P00445;Q68HB2	3	3	3	28.6	15.9	5.706E-09	9542500	13649000	11793000
YJR123W	40S ribosomal protein S5;RP14;S2;YS8	J2045;RPS2;RPS5;YJR123W	P26783	2	2	2	10.7	25.0	4.9842E-175	84454000	19346000	14969000
YJR144W	Mitochondrial genome maintenance protein MGM101	J2181;MGM101;MGM9;YJR144W	P32787	2	2	2	13.8	30.1	0.00013089	0	310230	0
YHR203C;YJR145C	40S ribosomal protein S4;Protein component of the small (40S) ribosomal subunit; identical to Rps4Ap and has similarity to rat S4 ribosomal protein;RP5;S7;YS6	J2186;RPS4A;RPS4B;RPS7A;RPS7B;YHR203C;YJR145C	D3DLF2;P05753	4	4	4	17.2	29.4	1.4413E-09	4916600	3873600	7320100
YDR395W	Importin beta SMX1;karyopherin-108;Suppressor of mRNA export mutant protein 1	KAP108;SXM1;YDR395W	Q04175	2	2	2	2.2	108.4	7.1955E-21	54646	25486	104270
YER110C	Importin subunit beta-4;Importin-123;Kap123p;Karyopherin subunit beta-4;Karyopherin-123;Ran-binding protein YRB4	KAP123;YER110C;YRB4	D3DM16;P40069	14	14	14	16.6	122.6	3.151E-238	4167800	2987300	1992100
YNL189W	Importin subunit alpha;Karyopherin subunit alpha;Karyopherin-60;Serine-rich RNA polymerase I suppressor protein	KAP60;N1606;SRP1;YNL189W	Q02821	4	4	4	11.1	60.4	1.4187E-53	320410	250010	493370
YLR347C	Importin subunit beta-1;Importin-95;Karyopherin subunit beta-1;Karyopherin-95	KAP95;L8300.15;YLR347C	Q06142	1	1	1	1.3	94.8	3.0343E-13	53220	0	57713
YHR158C	Kel1p;Kelch repeat-containing protein 1	KEL1;YHR158C	D3DLA7;P38853	1	1	1	0.9	131.1	0.000019149	0	0	33162
YPL145C	Oxysterol-binding protein homolog 4;Protein KES1	KES1;LPI3C;OSH4;P2614;YPL145C	P35844	10	10	10	26.3	49.5	6.9048E-67	2484700	2409500	2421400
YIL125W	2-oxoglutarate dehydrogenase complex component E1;2-oxoglutarate dehydrogenase, mitochondrial;Alpha-ketoglutarate dehydrogenase	KGD1;OGD1;YIL125W	P20967	4	4	4	5.5	114.4	3.8569E-28	320140	67775	157520
YDR148C	2-oxoglutarate dehydrogenase complex component E2;Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex;Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	KGD2;YD8358.05C;YDR148C	P19262	1	1	1	1.9	50.4	0.0077765	0	42853	0
YLL045C	60S ribosomal protein L8-B;L4;L4-1;RP6;YL5	KRB1;RPL4B;RPL8B;YLL045C	P29453	17	17	4	69.1	28.1	3.5787E-208	30155000	29882000	26560000
YNL132W	Killer toxin-resistance protein 33;UPF0202 protein KRE33	KRE33;N1216;N1858;YNL132W	P53914	2	2	2	2	119.4	7.5652E-11	0	75278	51910
YNL308C	KRR1-interacting protein 1;Protein KRI1	KRI1;N0388;YNL308C	P42846	2	2	2	3.6	68.7	0.000027242	0	26324	87216
YCL059C	KRR-R motif-containing protein 1;Ribosomal RNA assembly protein KRR1	KRR1;YCL059C;YCL59C	P25586	2	2	2	7.9	37.2	0.00091765	126310	48876	0
YLL024C	Heat shock protein SSA2	L0931;SSA2;YLL024C	P10592	24	8	8	54.9	69.5	0	27477000	29274000	19160000
YLR340W	60S acidic ribosomal protein P0;L10E	L10E;L8300.8;RPA0;RPL10E;RPLA0;RPP0;YLR340W	P05317	7	7	7	27.9	33.7	2.7763E-152	50736000	9137500	14691000
YDR382W	60S acidic ribosomal protein P2-beta;L12EIA;L45;YL44C;YP2beta;YPA1	L12EIA;RPL45;RPLA4;RPP2B;YDR382W	P02400	5	5	5	81.8	11.1	1.5508E-279	63505000	37531000	28197000
YOL039W	60S acidic ribosomal protein P2-alpha;A2;L12EIB;L44;YP2alpha	L12EIB;RPA2;RPL44;RPLA2;RPP2A;YOL039W	P05319	4	4	4	52.8	10.7	6.1749E-194	94704000	27592000	21558000
YDL081C	60S acidic ribosomal protein P1-alpha;A1;L12EIIA;YP1alpha	L12EIIA;RPA1;RPLA1;RPP1A;YDL081C	P05318	3	3	3	50.9	10.9	2.7279E-201	70639000	31663000	32341000
YDL130W	60S acidic ribosomal protein P1-beta;Ax;L12EIIB;L44';YP1beta	L12EIIB;RPL44P;RPLA3;RPP1B;YDL130W	P10622	1	1	1	15.1	10.7	1.1063E-53	7136600	9036500	4799900
YLR017W	Multicopy enhancer of UAS2	L1595;MEU1;YLR017W	Q06899;Q07938	1	1	1	2.7	37.9	6.8684E-08	57755	0	47067
YLR044C;YLR134W;YGR087C	Pyruvate decarboxylase isozyme 1;Pyruvate decarboxylase isozyme 2;Pyruvate decarboxylase isozyme 3	L2104;L3133;L9606.7;PDC1;PDC5;PDC6;YGR087C;YLR044C;YLR134W	O00042;P06169;P16467;P26263;Q07991;Q12682;Q12686;Q12687	23	23	23	52.6	61.5	0	1010000000	310230000	263360000
YGR214W;YLR048W	40S ribosomal protein S0-A;40S ribosomal protein S0-B;Nucleic acid-binding protein NAB1A;Nucleic acid-binding protein NAB1B	L2118;NAB1;NAB1A;NAB1B;NAB4;RPS0A;RPS0B;YGR214W;YLR048W;YST1;YST2	P32905;P46654	3	3	3	33.3	28.0	6.4434E-10	431270	2716700	1442000
YLR058C	Glycine hydroxymethyltransferase;Serine hydroxymethyltransferase, cytosolic;Serine methylase	L2156;SHM2;SHMT2;YLR058C	P37291	13	13	13	30.3	52.2	1.3632E-139	6313600	7324800	6256800
YLR061W	60S ribosomal protein L22-A;L1c;RP4;YL31	L2168;RPL22A;YLR061W	P05749	4	4	3	65.3	13.7	3.7772E-63	10388000	13116000	8629700
YLR066W	Microsomal signal peptidase subunit 3;Signal peptidase complex subunit SPC3	L2186;SPC3;YLR066W	Q12133	1	1	1	5.4	21.3	0.006642	67152	0	50107
YLR303W	Homocysteine synthase;O-acetylhomoserine sulfhydrylase;O-acetylserine sulfhydrylase;Protein MET17	L8003.1;MET17;MET25;YLR303W	P06106	10	10	10	28.8	48.7	6.4524E-300	30021000	38967000	22039000
YLR287C-A;YOR182C	40S ribosomal protein S30	L8003.23;RPS30A;RPS30B;YLR287BC;YLR287C-A;YOR182C	Q12087	2	2	2	33.3	7.1	8.9651E-06	4381600	3042900	18227000
YLR388W	40S ribosomal protein S29-A;40S ribosomal protein S29-B;S36;YS29	L8084.11;RPS29A;RPS29B;RPS36A;RPS36B;YDL061C;YLR388W;YS29A;YS29B	A2TBM8;P05761;P41057	1	1	1	14.3	6.7	5.5802E-07	3965000	5581900	5743800
YLR389C	A-factor-processing enzyme	L8084.12;STE23;YLR389C	Q06010	1	1	1	1.4	117.6	0.00088086	84005	0	0
YLR196W	Periodic tryptophan protein 1	L8167.10;PWP1;YLR196W	P21304	3	3	3	7.1	63.8	1.4187E-08	169000	182180	208200
YLR203C	Mitochondrial splicing suppressor protein 51;Protein MSS51, mitochondrial	L8167.17;MSS51;YLR203C	P32335	1	1	1	2.3	50.9	6.9315E-06	0	86365	0
YLR197W	Nucleolar protein 56;Ribosome biosynthesis protein SIK1;Suppressor of I kappa b protein 1	L8167.9;NOP56;SIK1;YLR197W	Q12460	13	13	12	36.7	56.9	1.0886E-206	5334000	3285100	5163700
YGR027C	40S ribosomal protein S25-A;40S ribosomal protein S25-B;RP45;S31;YS23	L8300.10;RPS25A;RPS25B;RPS31;RPS31A;RPS31B;YGR027C;YLR333C	A2TBN4;P05758;P07282;Q3E792;Q45U56	3	3	1	30.6	12.0	6.3318E-39	3019500	8996600	6646400
YLR333C	40S ribosomal protein S25-A;40S ribosomal protein S25-B;RP45;S31;YS23	L8300.10;RPS25A;RPS25B;RPS31;RPS31A;RPS31B;YGR027C;YLR333C	A2TBM7;P05758;P07282;P0C0T4	3	1	1	30.6	12.0	7.8188E-39	468610	1035800	908790
YGR034W;YLR344W	60S ribosomal protein L26-A;60S ribosomal protein L26-B;L33;YL33	L8300.4;RPL26;RPL26A;RPL26B;RPL33A;RPL33B;YGR034W;YLR344W	P05743;P53221;Q06HN2;Q45U50	5	5	5	34.6	14.2	8.0233E-13	20294000	42641000	35823000
YLR335W	Nuclear pore protein NUP2;Nucleoporin NUP2;p95	L8300.9;NUP2;YLR335W	P32499;Q06130	6	6	6	10.3	77.9	1.3288E-10	173790	282550	348750
YLR264W;YOR167C	40S ribosomal protein S28-A;40S ribosomal protein S28-B;S33;YS27	L8479.5;O3600;RPS28A;RPS28B;RPS33;RPS33A;RPS33B;YLR264W;YOR167C	P02380;P0C0X0;Q3E7X9	1	1	1	10.4	7.6	0.00043645	15774000	22335000	14505000
YLR327C	Translation machinery-associated protein 10	L8543.1;TMA10;YLR327C	Q06177	3	3	3	41.9	9.8	1.284E-32	1377900	4400300	1224100
YLR325C	60S ribosomal protein L38	L8543.2;RPL38;YLR325C	P49167	6	6	6	57.7	8.8	4.0241E-38	3508100	28132000	14364000
YLR448W	60S ribosomal protein L6-B;L17;RP18;YL16	L9324.4;RPL16B;RPL17B;RPL6B;YL16B;YLR448W	P05739	10	10	6	49.4	20.0	1.449E-43	19657000	30855000	16954000
YLR447C	Vacuolar proton pump subunit d;V-ATPase 39 kDa subunit;V-ATPase subunit M39;V-type proton ATPase subunit d	L9324.8;VMA6;YLR447C	P32366	2	2	2	8.1	39.8	0.0017033	1761800	0	763200
YIL148W;YKR094C;YLL039C	60S ribosomal protein L40;CEP52;Ubiquitin	L9470.14;RPL40A;RPL40B;RPS31;RPS37;SCD2;UBI1;UBI2;UBI3;UBI4;YIL148W;YKR094C;YLL039C;YLR167W	P04838;P14796;P61864;Q6LA96	5	5	1	50.8	14.6	2.1038E-42	22672000	24199000	14783000
YLR167W	40S ribosomal protein S31;CEP76;S37;Ubiquitin;YS24	L9470.14;RPL40A;RPL40B;RPS31;RPS37;SCD2;UBI1;UBI2;UBI3;UBI4;YIL148W;YKR094C;YLL039C;YLR167W	P04838;P05759;P14800;P61864;Q6LA96	5	1	1	41.4	17.2	1.3423E-38	3499000	0	0
YLR179C	Uncharacterized protein YLR179C	L9470.20;YLR179C	Q06252	4	4	4	34.3	22.2	2.9256E-38	2262200	1217200	1300700
YLR185W	60S ribosomal protein L37-A;L43;YL35;YP55	L9470.6;RPL35A;RPL37A;YLR185W	P49166	1	1	1	10.2	9.9	0.00557	2416700	0	4068500
YLR182W	Cell-cycle box factor subunit SWI6;MBF subunit P90;Regulatory protein SWI6;Trans-acting activator of HO endonuclease gene	L9470.8;SWI6;YLR182W	P09959	1	1	1	2.6	90.6	4.4595E-09	0	0	39580
YLR150W	3BP1;GU4 nucleic-binding protein 2;POP2 multicopy suppressor protein 4;Ribosomal subunits association factor;Suppressor protein STM1;TOM1 suppressor protein 1;Triplex-binding protein 1	L9634.1;MPT4;STM1;STO1;YLR150W	P39015	13	13	13	51.6	30.0	0	60095000	53963000	49586000
YLR147C	Small nuclear ribonucleoprotein Sm D3;snRNP core protein D3	L9634.6;SMD3;YLR147C	P43321	1	1	1	8.9	11.2	0.012585	126240	19640	0
YLR354C	Transaldolase	L9638.6;TAL1;YLR354C	P15019	16	16	16	52.8	37.0	8.66E-286	30411000	29568000	22515000
YLR244C	Methionine aminopeptidase 1;Peptidase M 1	L9672.12;MAP1;YLR244C	Q01662	3	3	3	11.6	43.4	9.1664E-32	221230	290970	144360
YLR250W	Protein SSP120	L9672.4;SSP120;YLR250W	P39931	2	2	2	9.4	27.3	0.00011619	0	30038	159060
YLR441C	40S ribosomal protein S1-A;RP10A	L9753.9;PLC1;RPS10A;RPS1A;YLR441C	P33442	9	9	3	42	28.7	5.834E-148	33772000	83472000	20671000
YLR420W	Dihydroorotase	L9931.1;URA4;YLR420W	P20051	2	2	2	6.9	40.3	6.254E-07	0	227980	111280
YDL051W	La autoantigen homolog;La protein homolog;La ribonucleoprotein	LAH1;LHP1;YDL051W;YLA1	P33399	1	1	1	6.2	32.1	2.8159E-22	0	93910	0
YKR001C	Vacuolar protein sorting-associated protein 1	LAM1;SPO15;VPS1;YKR001C	P21576	8	8	8	15.6	78.7	5.9169E-71	477730	1323800	1273100
YNL071W	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex;Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial;Pyruvate dehydrogenase complex component E2	LAT1;N2374;PDA2;YNL071W	P12695	6	6	6	13.7	51.8	2.3366E-32	2179300	1712200	1072500
YOR153W	Pleiotropic ABC efflux transporter of multiple drugs;Pleiotropic drug resistance protein 5;Suppressor of toxicity of sporidesmin	LEM1;PDR5;STS1;YDR1;YOR153W	P33302	2	2	2	1.3	170.4	0.0024807	134110	86503	0
YGL009C	3-isopropylmalate dehydratase;Alpha-IPM isomerase;Isopropylmalate isomerase	LEU1;YGL009C	P07264	17	17	17	26.6	85.8	0	33727000	27228000	17125000
